Transcription Start	Translation Start	Translation Stop	Transcription Stop	Strand	Name	Synonym	Product	Raw Counts Cond_0.1 Replicate 1	Raw Counts Cond_0.1 Replicate 2	Raw Counts Cond_0.1 Replicate 3	Normalized Counts Cond_0.1 Replicate 1	Normalized Counts Cond_0.1 Replicate 2	Normalized Counts Cond_0.1 Replicate 3	RPKM Cond_0.1	Expression Cond_0.1	Raw Counts Cond_6 Replicate 1	Raw Counts Cond_6 Replicate 2	Normalized Counts Cond_6 Replicate 1	Normalized Counts Cond_6 Replicate 2	RPKM Cond_6	Expression Cond_6	pValue Cond_0.1 vs Cond_6	qValue Cond_0.1 vs Cond_6
	2104823	2104146		-		Rv1856c	-	1	0	1	13823	0	18138	0	15	0	0	0	0	0	0	0.0	1.0
	2104985	2105770		+	modA	Rv1857	-	2	1	5	25309	28500	47925	1	43	0	1	5705	28500	0	21	0.6387304218481047	1.0
	2105773	2106567		+	modB	Rv1858	-	17	1	19	211348	40362	178351	6	180	9	1	178319	40362	3	137	0.5497326076262125	1.0
	2106574	2107683		+	modC	Rv1859	-	7	7	10	92297	199011	98457	3	117	2	7	42116	199011	1	108	0.4778627601024533	1.0
	2107736	2108713		+	apa	Rv1860	-	0	0	0	0	0	0	0	0	1	0	25311	0	0	12	1.0	1.0
	2109165	2109470		+		Rv1861	-	0	0	0	0	0	3829	0	4	0	0	0	0	0	0	0.0	1.0
	2109544	2110584		+	adhA	Rv1862	-	13	3	11	154745	79736	108191	3	109	7	3	131742	79736	2	101	0.4726729669866709	1.0
	2111361	2110591		-		Rv1863c	-	6	0	14	78541	6919	138989	3	97	0	0	11825	6919	0	12	0.0026955614541805434	0.1179377609437343
	2112109	2111354		-		Rv1864c	-	3	0	2	45116	0	20638	1	28	1	0	20643	0	0	13	0.6509025577906996	1.0
	2112966	2112106		-		Rv1865c	-	0	0	0	0	0	8085	0	3	0	0	5705	0	0	3	0.48197017884122856	1.0
	2113140	2115476		+		Rv1866	-	2	0	1	34387	14332	17393	0	9	5	0	98858	14332	0	24	0.6418203217077235	1.0
	2115764	2117248		+		Rv1867	-	3	1	5	37551	28995	46914	0	25	4	1	86825	28995	0	38	0.5580297293593294	1.0
	2117347	2119446		+		Rv1868	-	46	2	85	549793	71828	795531	8	224	24	2	453423	71828	3	125	0.5611690984220543	1.0
	2120695	2119460		-		Rv1869c	-	4	0	8	49518	19439	75851	1	39	4	0	91493	19439	1	44	0.5129476172729899	1.0
	2121430	2120795		-		Rv1870c	-	0	0	0	0	0	6329	0	3	0	0	622	0	0	0	3.671450603065184E-7	1.0
2121000			2123140	+	-	predicted RNA	antisense: lldD2 Rv1870c Rv1871c	5252	1129	6353	62137964	29593574	59139361	820	23489	2790	1129	51529668	29593574	429	18945	0.5334879223467652	1.0
	2121884	2121495		-		Rv1871c	-	1	0	0	23383	12520	8510	1	37	2	0	41908	12520	1	69	0.5999441834531324	1.0
	2123151	2121907		-	lldD2	Rv1872c	-	1	0	6	20151	0	58882	0	21	4	0	80705	0	0	32	0.5619470062668178	1.0
	2123174	2123611		+		Rv1873	-	4	0	7	49381	0	69308	3	90	0	0	6846	0	0	7	4.100005942587167E-8	2.230823746197428E-6
	2123684	2124370		+		Rv1874	-	3	0	7	42503	24876	65478	2	64	6	0	123755	24876	2	108	0.570461916511049	1.0
	2124381	2124824		+		Rv1875	-	1	0	9	19738	0	87500	3	80	1	0	22406	0	0	25	0.7016232820312089	1.0
	2125340	2125819		+	bfrA	Rv1876	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0
	2125904	2127967		+		Rv1877	-	32	1	33	383012	35914	312446	4	118	14	1	261514	35914	1	72	0.5579974507680441	1.0
	2128022	2129374		+	glnA3	Rv1878	-	7	1	15	86107	42833	147712	2	68	11	1	208609	42833	2	92	0.5188068626856409	1.0
	2129377	2130513		+		Rv1879	-	37	5	51	442640	133113	475372	11	308	33	5	622821	133113	8	332	0.47638798245605135	1.0
	2131857	2130541		-	cyp140	Rv1880c	-	5	3	2	59628	81713	24840	1	42	0	3	0	81713	0	31	0.5663651442038252	1.0
	2132329	2131907		-	lppE	Rv1881c	-	1	0	0	12173	0	0	0	9	0	0	2282	0	0	2	0.38986235773314243	1.0
	2133203	2132370		-		Rv1882c	-	0	1	2	9972	28665	20638	0	23	0	1	3215	28665	0	19	0.44524472538299764	1.0
	2133692	2133231		-		Rv1883c	-	0	2	0	0	72487	7500	1	57	0	2	0	72487	1	78	0.5427633803624556	1.0
	2134261	2133731		-	rpfC	Rv1884c	-	3	1	5	41471	35090	47127	2	77	1	1	18672	35090	1	50	0.5915436822805353	1.0
	2134872	2134273		-		Rv1885c	-	7	2	9	93466	67215	84414	4	136	4	2	77178	67215	2	120	0.4596034670475631	1.0
	2135867	2134890		-	fbpB	Rv1886c	-	1	0	0	16987	0	4202	0	7	0	0	11307	0	0	5	0.5421152430599699	1.0
	2136258	2137400		+		Rv1887	-	6	3	4	72489	87808	38989	1	58	1	3	28319	87808	0	50	0.46140777637312286	1.0
	2139687	2139076		-		Rv1890c	-	2	0	2	33356	0	19095	1	28	2	0	48547	0	1	39	0.5506529850990228	1.0
2139419			2139656	+	AS1890	RVnc0001	-	1	1	3	23452	34266	34042	3	128	1	1	29979	34266	2	134	0.495644458774778	1.0
	2139741	2140148		+		Rv1891	-	1	0	1	20288	24052	12021	1	46	2	0	39315	24052	1	77	0.5825962682180403	1.0
	2140165	2140476		+		Rv1892	-	2	0	7	29573	6589	72074	4	115	4	0	74792	6589	3	130	0.5075343852540479	1.0
	2140486	2140704		+		Rv1893	-	1	1	5	12310	37397	47234	4	147	5	1	92842	37397	6	297	0.5943469129357796	1.0
	2141869	2140739		-		Rv1894c	-	33	1	26	394016	47116	250744	7	203	16	1	299792	47116	3	153	0.546065201550802	1.0
	2142521	2143675		+		Rv1895	-	7	0	10	90027	0	100106	2	54	4	0	75622	0	0	32	0.6016899145446358	1.0
	2144446	2143535		-		Rv1896c	-	1	1	10	18982	42174	96223	2	57	1	1	19087	42174	0	33	0.6069818240262916	1.0
	2144882	2144451		-		Rv1897c	-	1	0	2	19188	18616	21489	1	45	1	0	28734	18616	1	54	0.5223729685767926	1.0
2144940	2144940	2145248		+		Rv1898	-	22	4	34	266299	125370	319468	27	767	17	4	331742	125370	17	739	0.4827589626841613	1.0
	2146245	2145214		-	lppD	Rv1899c	-	10	2	14	129023	75453	133351	3	109	11	2	210373	75453	3	138	0.514308236640875	1.0
2145747			2145800	+	-	predicted RNA	antisense: lppD	33	7	42	398486	204118	397712	215	6174	21	7	399688	204118	128	5590	0.508151770787948	1.0
	2147633	2146245		-	lipJ	Rv1900c	-	13	1	18	157015	51729	170425	3	90	6	1	124377	51729	1	63	0.565736716698578	1.0
	2147662	2148954		+	cinA	Rv1901	-	8	4	12	101925	116309	113882	2	85	9	4	178630	116309	2	114	0.5186467857123334	1.0
	2150274	2149006		-	nanT	Rv1902c	-	61	13	65	724140	359143	608776	15	444	26	13	480601	359143	7	330	0.521115825980779	1.0
	2150364	2150768		+		Rv1903	-	3	1	5	43259	39209	54521	3	112	4	1	79253	39209	3	146	0.5328496480658017	1.0
	2150954	2151385		+		Rv1904	-	2	0	4	30811	1812	41063	2	56	6	0	115767	1812	3	136	0.6189619370663016	1.0
	2152395	2151433		-	aao	Rv1905c	-	21	3	14	253988	84349	134734	5	163	12	3	221991	84349	3	159	0.48365066841669524	1.0
	2152895	2152425		-		Rv1906c	-	0	0	0	7565	0	3670	0	7	1	0	21784	0	0	23	0.6781216936519213	1.0
	2153882	2153235		-		Rv1907c	-	0	0	2	0	0	25478	0	13	1	0	36514	0	0	28	0.6356184506541956	1.0
	2156111	2153889		-	katG	Rv1908c	-	3	1	2	35694	50906	25744	0	16	0	1	14626	50906	0	14	0.462583851885336	1.0
2154084			2154197	+	-	predicted RNA	antisense: katG	80	44	57	952407	1169851	531808	217	7760	76	44	1412551	1169851	247	11326	0.5698859334831001	1.0
	2156592	2156149		-	furA	Rv1909c	-	2	0	4	35419	0	45106	2	60	1	0	24481	0	0	27	0.6563899393714392	1.0
	2157299	2156706		-		Rv1910c	-	1	3	3	21389	95716	34840	2	85	2	3	50000	95716	2	122	0.5477820920378998	1.0
	2157987	2157382		-	lppC	Rv1911c	-	0	0	1	0	0	10053	0	5	1	0	27489	0	0	22	0.9582841800352306	1.0
	2159091	2158087		-	fadB5	Rv1912c	-	0	0	2	0	0	19734	0	6	1	0	25000	0	0	12	0.6200181292413686	1.0
	2159191	2159943		+		Rv1913	-	6	1	12	73246	36902	114840	3	99	0	1	6120	36902	0	28	0.7950463460207409	1.0
	2160328	2159921		-		Rv1914c	-	0	0	1	6671	4612	12659	0	19	1	0	21369	4612	0	31	0.5908425281329975	1.0
	2160463	2161566		+	aceAa	Rv1915	-	2	3	4	29986	104612	41063	1	53	3	3	60788	104612	1	74	0.5429447702936891	1.0
	2161566	2162762		+	aceAb	Rv1916	-	0	0	0	0	0	0	0	0	0	0	16597	0	0	6	0.0	1.0
	2167311	2162932		-	PPE34	Rv1917c	-	17	10	32	203370	285667	301382	1	60	13	10	247821	285667	1	60	0.49569618540879345	1.0
	2170612	2167649		-	PPE35	Rv1918c	-	14	5	23	177028	144810	217287	2	60	5	5	109128	144810	0	42	0.5561473710061651	1.0
	2171525	2171061		-		Rv1919c	-	0	1	0	10935	50906	1702	0	45	0	1	9439	50906	1	64	0.5528011168249851	1.0
	2171623	2172486		+		Rv1920	-	3	0	3	41884	0	32127	1	28	3	0	62759	0	0	36	0.5314788542239445	1.0
	2173795	2172524		-	lppF	Rv1921c	-	7	5	11	91334	150411	110904	2	92	7	5	147199	150411	2	116	0.5162580305893556	1.0
	2174067	2175182		+		Rv1922	-	0	0	0	0	15815	0	0	4	2	0	40352	15815	0	25	0.06936096325755514	1.0
	2175173	2176513		+	lipD	Rv1923	-	24	1	22	292709	29159	206648	4	131	10	1	189419	29159	2	81	0.5726789273808338	1.0
	2176930	2176550		-		Rv1924c	-	6	0	16	80742	25700	151648	8	225	7	0	139730	25700	5	217	0.4735021319280367	1.0
	2177087	2178949		+	fadD31	Rv1925	-	7	2	12	90990	72817	120585	1	50	10	2	195435	72817	1	71	0.5231506906141066	1.0
2177256			2177170	-	-	predicted RNA	antisense: fadD31	46	12	75	554814	331630	706914	215	6104	46	12	854564	331630	160	6817	0.521155735493871	1.0
2177791			2177764	-	-	predicted RNA	antisense: fadD31	15	6	22	181155	175453	207393	217	6714	15	6	289626	175453	187	8304	0.5037174916085855	1.0
2179436	2179436	2178957		-	mpt63	Rv1926c	-	98	9	155	1170976	254695	1446542	76	1994	57	9	1056846	254695	33	1366	0.5405082955301164	1.0
	2179673	2180446		+		Rv1927	-	2	0	7	32874	329	71542	1	45	1	0	35995	329	0	23	0.6332439481565209	1.0
	2181217	2180450		-		Rv1928c	-	10	1	13	129711	43822	123936	4	129	6	1	119190	43822	2	106	0.44920097146012916	1.0
	2181906	2181262		-		Rv1929c	-	0	0	0	0	0	7340	0	3	0	0	0	0	0	0	0.0	1.0
	2182442	2181918		-		Rv1930c	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0
	2183239	2182460		-		Rv1931c	-	0	4	2	0	109555	24840	1	57	0	4	0	109555	1	70	0.523055170018347	1.0
	2183372	2183869		+	tpx	Rv1932	-	0	1	0	6258	31136	5638	0	28	0	1	10684	31136	0	41	0.5621089779877015	1.0
2184957	2184957	2183866		-	fadE18	Rv1933c	-	54	12	79	641265	325700	737819	18	520	21	12	397717	325700	7	331	0.5382015346195916	1.0
	2186188	2184959		-	fadE17	Rv1934c	-	8	5	19	100206	136738	180212	3	113	4	5	84336	136738	1	89	0.543372621054112	1.0
	2187159	2186203		-	echA13	Rv1935c	-	0	2	0	10866	57331	1276	0	24	0	2	0	57331	0	29	0.526763417692948	1.0
	2187384	2188493		+		Rv1936	-	1	0	0	14305	24217	8882	0	14	0	0	0	24217	0	10	0.5632852726610469	1.0
	2188496	2191015		+		Rv1937	-	17	8	26	206396	212355	244414	2	87	11	8	219294	212355	1	85	0.4811766816283141	1.0
	2191027	2192097		+	ephB	Rv1938	-	0	1	2	0	28171	18723	0	14	0	1	0	28171	0	13	0.4682813614100706	1.0
	2192094	2192609		+		Rv1939	-	1	1	1	13273	26688	13723	0	34	0	1	16701	26688	0	42	0.5259670866900209	1.0
	2192606	2193667		+	ribA1	Rv1940	-	14	4	15	173796	115815	139680	4	134	3	4	56327	115815	1	81	0.5849140146235899	1.0
	2193664	2194434		+		Rv1941	-	39	12	67	467056	334761	630106	21	619	13	12	245435	334761	7	376	0.5505766249279166	1.0
	2194973	2194644		-	mazF5	Rv1942c	-	5	0	4	62310	2141	42393	4	107	0	0	0	2141	0	3	6.2695598615337595E-111	3.9129429488748936E-109
	2195347	2194970		-	mazE5	Rv1943c	-	1	0	2	16093	21746	26170	1	56	1	0	19502	21746	1	54	0.4807064782816798	1.0
	2195934	2195344		-		Rv1944c	-	2	0	1	32187	0	17500	1	28	0	0	15975	0	0	13	0.6427727065015594	1.0
	2195989	2197353		+		Rv1945	-	6	1	8	81224	45963	77180	1	49	4	1	89626	45963	1	49	0.48183834230726075	1.0
2197960	2197960	2197508	2197508	-	lppG	Rv1946c	-	18	5	30	213204	132784	283723	16	463	3	5	67634	132784	4	221	0.6128578249220917	1.0
	2198024	2198425		+		Rv1947	-	1	0	3	12173	0	34627	1	38	2	0	44813	0	1	55	0.558030594333219	1.0
	2199064	2198714		-		Rv1948c	-	5	2	9	66437	55848	86808	6	198	3	2	66493	55848	3	174	0.4611001699598314	1.0
	2200189	2199998		-		Rv1950c	-	0	0	0	0	0	4840	0	8	0	0	0	0	0	0	0.0	1.0
	2200486	2200190		-		Rv1951c	-	1	0	0	12517	0	0	0	14	0	0	0	0	0	0	0.0	1.0
	2200726	2200941		+	vapB14	Rv1952	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0
	2200938	2201249		+	vapC14	Rv1953	-	0	0	0	0	0	8138	0	8	0	0	0	0	0	0	3.649852840882778E-133	1.0
2201744	2201744	2201223	2201223	-		Rv1954c	-	586	254	686	6936382	6665733	6391755	401	12767	489	254	9032883	6665733	332	15036	0.44377469557392935	1.0
	2201719	2202096		+	higB	Rv1955	-	0	0	1	10453	0	17287	1	24	0	0	0	0	0	0	0.0	1.0
	2202138	2202587		+	higA	Rv1956	-	2	0	0	33012	0	6542	1	29	1	0	19398	0	0	21	0.5685759838208613	1.0
	2202584	2203129		+		Rv1957	-	4	0	4	51375	0	38723	2	55	2	0	52904	0	1	48	0.46196806343775443	1.0
2203632	2203632	2203018	2202688	-		Rv1958c	-	88	26	162	1050068	705271	1509574	62	1769	71	26	1321680	705271	37	1647	0.502909695122684	1.0
	2203977	2203681		-	parE1	Rv1959c	-	9	1	25	112929	41515	237659	17	440	6	1	115352	41515	6	264	0.5874197589988336	1.0
	2204225	2203974		-	parD1	Rv1960c	-	3	0	11	35694	10214	103723	8	197	2	0	49377	10214	2	118	0.6038250159375927	1.0
	2204212	2204706		+		Rv1961	-	1	0	2	23039	164	18776	1	28	0	0	622	164	0	0	4.11832877353674E-216	2.6889518945984498E-214
	2205273	2204866		-	vapC35	Rv1962c	-	6	5	15	79711	150741	145851	9	307	0	5	0	150741	3	184	0.58940354484618	1.0
	2205549	2205277		-	vapB35	Rv1962A	-	1	0	2	14305	7578	22925	2	54	1	0	22302	7578	1	54	0.4895635806077918	1.0
	2206802	2205582		-	mce3R	Rv1963c	-	2	3	1	27166	104118	10000	0	38	0	3	0	104118	0	42	0.5057448277784611	1.0
	2207700	2208497		+	yrbE3A	Rv1964	-	1	0	0	11829	0	1489	0	5	0	0	17531	0	0	10	0.6273542549701194	1.0
	2208507	2209322		+	yrbE3B	Rv1965	-	2	0	4	25859	0	45319	1	29	0	0	0	0	0	0	0.0	0.0
	2209327	2210604		+	mce3A	Rv1966	-	1	2	2	19944	65897	27340	0	29	1	2	34336	65897	0	39	0.5352795116847423	1.0
	2210601	2211629		+	mce3B	Rv1967	-	1	1	4	20220	47940	41223	1	35	2	1	47199	47940	0	46	0.5320769138576869	1.0
	2211626	2212858		+	mce3C	Rv1968	-	1	2	0	22145	70510	7340	0	27	0	2	0	70510	0	28	0.49648525629128476	1.0
	2212855	2214126		+	mce3D	Rv1969	-	2	3	2	32806	85831	22234	0	36	2	3	47925	85831	1	52	0.5470452548688894	1.0
	2214123	2215256		+	lprM	Rv1970	-	0	0	1	0	20428	10851	0	9	0	0	12448	20428	0	14	0.5808749807927103	1.0
	2215257	2216570		+	mce3F	Rv1971	-	1	1	1	20426	45304	18404	0	21	2	1	39937	45304	0	32	0.5599920475675325	1.0
	2216592	2217167		+		Rv1972	-	0	1	0	0	36408	7659	0	25	0	1	0	36408	0	31	0.532062921146659	1.0
	2217164	2217646		+		Rv1973	-	1	4	1	18088	114662	13297	2	100	0	4	0	114662	1	118	0.5171146560125659	1.0
	2217659	2218036		+		Rv1974	-	2	0	1	33837	8731	15478	1	51	1	0	24170	8731	1	43	0.45592593236870926	1.0
	2218052	2218717		+		Rv1975	-	6	2	5	78404	57001	51223	2	93	10	2	203008	57001	4	195	0.6404538613839927	1.0
	2219251	2218844		-		Rv1976c	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0
	2219754	2220800		+		Rv1977	-	1	3	1	14305	95881	12393	0	39	3	3	59439	95881	1	74	0.5864224190737789	1.0
2220908	2220908	2221756		+		Rv1978	-	27	3	45	329160	103789	419574	12	334	9	3	182261	103789	3	168	0.6588891495709409	1.0
	2223164	2221719		-		Rv1979c	-	23	5	31	281774	148764	294468	5	167	17	5	326867	148764	3	164	0.48651530548969957	1.0
	2224029	2223343		-	mpt64	Rv1980c	-	4	0	10	54951	23723	97978	3	85	8	0	154149	23723	3	129	0.5523851780762109	1.0
	2225188	2224220		-	nrdF1	Rv1981c	-	1	0	5	14511	5766	50319	0	24	3	0	64730	5766	0	36	0.5602293406031593	1.0
	2225832	2225413		-	vapC36	Rv1982c	-	0	0	4	8872	0	45638	1	43	1	0	36825	0	1	43	0.490986535789418	1.0
	2226101	2225841		-	vapB36	Rv1982A	-	1	0	1	18913	0	17872	1	46	0	0	0	0	0	0	0.0	0.0
	2226244	2227920		+	PE_PGRS35	Rv1983	-	16	4	25	194566	124052	238351	3	110	14	4	274273	124052	2	118	0.48970759953474907	1.0
	2228561	2227908		-	cfp21	Rv1984c	-	1	0	6	14374	10049	59680	1	42	1	0	23443	10049	0	25	0.6100656067551815	1.0
	2228676	2228906		+		RV1984a	-	0	0	1	11279	0	17500	1	41	0	0	17116	0	0	37	0.5274039744685872	1.0
	2229902	2228991		-		Rv1985c	-	1	6	15	23521	182207	144521	3	128	6	6	121473	182207	3	166	0.5186426514550491	1.0
	2230011	2230610		+		Rv1986	-	0	1	5	8184	30313	54308	1	51	0	1	0	30313	0	25	0.6440936861607465	1.0
	2231026	2231454		+		Rv1987	-	3	0	2	36107	0	23989	1	46	3	0	56950	0	1	66	0.5535613525838151	1.0
	2231680	2232219		+	erm(37)	Rv1988	-	3	0	3	41815	0	28563	1	43	1	0	29875	0	0	27	0.5995727678173575	1.0
	2233299	2232739		-		Rv1989c	-	9	2	8	107083	72158	78404	4	153	6	2	116493	72158	3	168	0.49314249819258427	1.0
	2233637	2233296		-		Rv1990c	-	0	0	1	0	0	14361	0	13	0	0	0	0	0	0	0.0	1.0
	2234649	2234305		-	mazF6	Rv1991c	-	1	0	3	13411	0	35265	1	47	0	0	0	0	0	0	0.0	0.0
	2234891	2234643		-	mazE6	Rv1991A	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	1.0
	2237306	2234991		-	ctpG	Rv1992c	-	7	2	5	93947	61614	49148	0	29	1	2	20331	61614	0	17	0.6020278358011643	1.0
2236998			2237071	+	-	predicted RNA	antisense: ctpG	37	4	54	446973	115156	505585	180	4809	14	4	262136	115156	59	2549	0.5686554623369214	1.0
	2237575	2237303		-		Rv1993c	-	0	0	4	10866	0	37872	2	59	0	0	0	0	0	0	0.0	0.0
2237584			2237721	+	-	predicted RNA	antisense: cmtR	72	3	135	862723	85172	1264042	213	5342	32	3	598858	85172	61	2478	0.8050413831952271	1.0
	2237984	2237628		-	cmtR	Rv1994c	-	0	0	0	0	7578	1276	0	8	0	0	0	7578	0	10	0.554660650439482	1.0
	2238141	2238908		+		Rv1995	-	3	0	7	36863	0	65372	1	44	4	0	85062	0	1	55	0.5247507784164908	1.0
	2239004	2239957		+		Rv1996	-	0	2	0	6052	53871	0	0	20	0	2	12448	53871	0	34	0.579050461866022	1.0
2239362			2239026	-	-	predicted RNA	antisense: Rv1996	83	148	205	985075	3901153	1911329	175	6723	269	148	4980082	3901153	289	13176	0.6256389900498532	1.0
	2240159	2242876		+	ctpF	Rv1997	-	5	5	4	66574	138550	37446	0	29	2	5	51659	138550	0	34	0.5045041244117673	1.0
2243721	2243721	2242945		-		Rv1998c	-	64	17	76	768431	448764	713989	28	828	46	17	858091	448764	19	840	0.4883709873902456	1.0
	2245138	2243816		-		Rv1999c	-	6	0	6	81292	0	60957	1	35	3	0	60892	0	0	23	0.5916643404049499	1.0
	2245209	2246822		+		Rv2000	-	1	0	1	22352	0	17659	0	8	0	0	14834	0	0	4	0.6168341161489295	1.0
	2246832	2247584		+		Rv2001	-	11	0	9	133493	25864	90159	4	110	2	0	50311	25864	1	50	0.6401562087654659	1.0
	2247660	2248442		+	fabG3	Rv2002	-	10	0	10	127028	14497	94521	3	100	4	0	82157	14497	1	61	0.5988898542089743	1.0
	2249420	2248563		-		Rv2003c	-	5	2	3	62035	58319	31542	1	59	1	2	28008	58319	0	50	0.45938863084802345	1.0
	2250974	2249478		-		Rv2004c	-	2	1	1	34250	26688	12234	0	16	3	1	64522	26688	0	30	0.5918750381721009	1.0
	2251883	2250996		-		Rv2005c	-	0	0	2	8803	0	24095	0	12	0	0	12136	0	0	6	0.6127355904050092	1.0
	2252002	2255985		+	otsB1	Rv2006	-	267	64	430	3163204	1687644	4002659	26	740	169	64	3131224	1687644	13	604	0.5463773885114986	1.0
2256032			2256356	+	-	predicted RNA	antisense: fdxA	251	112	309	2980055	2958978	2881489	284	9046	219	112	4049896	2958978	238	10782	0.5281017836006159	1.0
	2256428	2256084		-	fdxA	Rv2007c	-	4	1	2	51169	47775	18989	3	113	1	1	25414	47775	2	106	0.4744576848371036	1.0
	2257942	2256617		-		Rv2008c	-	15	4	18	185488	123887	176542	4	122	7	4	132987	123887	2	96	0.5429773467581617	1.0
	2258030	2258272		+	vapB15	Rv2009	-	0	0	0	11554	0	0	0	15	0	0	0	0	0	0	0.0	1.0
	2258273	2258671		+	vapC15	Rv2010	-	1	2	1	17125	53212	10957	1	67	0	2	0	53212	1	66	0.48277201364019645	1.0
	2259285	2258854		-		Rv2011c	-	3	1	9	37414	49588	87393	4	134	0	1	15663	49588	1	75	0.6119507778964721	1.0
	2259326	2259820		+		Rv2012	-	3	1	6	45392	29324	58351	3	89	0	1	8921	29324	0	38	0.6581142474872205	1.0
	2263072	2261816		-		Rv2015c	-	2	3	2	28748	90774	19148	0	36	1	3	21473	90774	0	44	0.5222775824447925	1.0
	2263426	2264001		+		Rv2016	-	1	0	1	21733	0	10851	0	18	0	0	0	0	0	0	0.0	1.0
	2263998	2265038		+		Rv2017	-	0	3	5	9559	97693	53829	1	51	3	3	69294	97693	1	80	0.5584834582123616	1.0
	2265280	2265999		+		Rv2018	-	2	0	3	29642	0	28563	1	26	0	0	4875	0	0	3	3.003630068169929E-4	1.0
	2265989	2266405		+		Rv2019	-	6	1	5	71870	50411	46808	4	135	3	1	58921	50411	2	131	0.4823329488499477	1.0
	2267110	2266805		-		Rv2021c	-	0	1	0	0	31630	1914	0	36	0	1	0	31630	0	51	0.5594774322658091	1.0
	2267724	2267119		-		Rv2022c	-	12	0	19	143328	3789	183351	7	181	4	0	79668	3789	1	68	0.6563556605822161	1.0
	2268108	2267749		-		Rv2023c	-	1	0	1	14786	0	10691	0	23	0	0	0	0	0	0	0.0	1.0
	2270240	2268693		-		Rv2024c	-	0	3	5	11760	92092	47127	0	32	0	3	6950	92092	0	31	0.48528516725490867	1.0
	2271748	2270750		-		Rv2025c	-	0	0	3	3713	0	28085	0	10	2	0	37655	0	0	18	0.6008964887956851	1.0
	2272747	2271863		-		Rv2026c	-	0	0	0	5914	0	0	0	2	0	0	2282	0	0	1	0.5758177677587726	1.0
	2274508	2272787		-	dosT	Rv2027c	-	3	2	5	35488	65403	47659	0	28	1	2	20954	65403	0	25	0.46328964230207753	1.0
	2275408	2274569		-		Rv2028c	-	2	1	0	32530	31960	0	0	25	3	1	57053	31960	1	52	0.6071786635975465	1.0
	2276424	2275405		-	pfkB	Rv2029c	-	1	0	1	19944	0	9627	0	9	0	0	0	0	0	0	0.0	1.0
2276386			2276592	+	-	predicted RNA	antisense: Rv2030c pfkB	123	45	219	1459766	1202306	2042234	258	7575	103	45	1907572	1202306	168	7511	0.496197682209745	1.0
	2278486	2276441		-		Rv2030c	-	4	5	7	55295	153542	69308	1	45	2	5	40767	153542	0	47	0.4847432990373153	1.0
2276743			2276957	+	-	predicted RNA	antisense: Rv2030c	104	52	198	1240165	1366886	1845585	227	6903	121	52	2245331	1366886	189	8400	0.5454947792173973	1.0
2277061			2277194	+	-	predicted RNA	antisense: Rv2030c	71	32	105	843741	844975	982340	214	6644	61	32	1139937	844975	163	7406	0.47172505371586365	1.0
2277406			2278943	+	-	predicted RNA	antisense: hspX Rv2030c	2729	1757	3522	32284044	46044481	32793617	710	24083	3353	1757	61926037	46044481	774	35100	0.5924789694015445	1.0
	2278932	2278498		-	hspX	Rv2031c	-	1	2	3	12723	53377	31702	2	74	2	2	48962	53377	2	117	0.561753616633063	1.0
	2279129	2280124		+	acg	Rv2032	-	4	0	4	50481	0	43563	1	31	3	0	56846	0	0	28	0.46736900453004093	1.0
	2281082	2280240		-		Rv2033c	-	26	3	18	316506	104283	175904	8	235	6	3	120643	104283	2	133	0.5798641211303529	1.0
	2281294	2281617		+		Rv2034	-	0	1	1	0	28500	10478	0	40	0	1	0	28500	0	43	0.5098941043192026	1.0
	2281614	2282102		+		Rv2035	-	0	0	3	0	0	31276	0	21	0	0	0	0	0	0	0.0	1.0
	2282099	2282740		+		Rv2036	-	4	4	8	48693	109225	81595	3	124	4	4	80705	109225	3	147	0.5068441375522877	1.0
	2283721	2282747		-		Rv2037c	-	2	3	7	28404	99505	72074	1	68	1	3	18464	99505	1	60	0.4635632759888524	1.0
	2284796	2283723		-		Rv2038c	-	1	1	0	19394	29654	0	0	15	1	1	30186	29654	0	27	0.5968818441525486	1.0
	2285641	2284799		-		Rv2039c	-	0	0	0	5708	0	0	0	2	0	0	0	0	0	0	3.041702133794815E-70	1.0
	2286530	2285628		-		Rv2040c	-	3	1	4	37895	46128	39521	1	45	1	1	22614	46128	0	38	0.45360890303871043	1.0
	2287846	2286527		-		Rv2041c	-	2	0	1	30811	0	14095	0	11	1	0	32157	0	0	12	0.5036119605334018	1.0
	2288681	2287884		-		Rv2042c	-	2	0	1	32187	0	10797	0	17	0	0	13278	0	0	8	0.6434107613277972	1.0
	2289241	2288681		-	pncA	Rv2043c	-	5	0	11	60591	0	110372	4	101	1	0	31120	0	0	27	0.7381439164517275	1.0
	2289599	2289282		-		Rv2044c	-	0	0	0	1513	0	3191	0	4	0	0	0	0	0	0	1.0821601500469106E-48	1.0
	2291220	2289685		-	lipT	Rv2045c	-	0	1	1	0	51729	14202	0	14	0	1	0	51729	0	16	0.5175552518206133	1.0
	2291269	2291925		+	lppI	Rv2046	-	8	1	10	99312	39373	96382	4	119	2	1	37655	39373	1	58	0.6311132461125346	1.0
